Time,u1,y1,y2,x1,x2,x3
8890,8078487.5,8037363,899.084228515625,8037551.5,0.6124914288520813,503.5599975585938
8900,8119423.5,8078299,899.785400390625,8078487.5,0.6130176186561584,503.9926147460938
8910,8160359.5,8119235,900.4864501953125,8119423.5,0.6135438084602356,504.4252014160156
8920,8201296,8160171,901.1873779296875,8160359.5,0.6140699982643127,504.8578491210938
8930,8242232,8201107.5,901.8882446289063,8201296,0.6145961880683899,505.2904663085938
8940,8283168,8242043.5,902.5889892578125,8242232,0.6151224374771118,505.7231140136719
8950,8324104,8282979.5,903.2896728515625,8283168,0.6156486868858337,506.15576171875
8960,8365040,8323915.5,903.990234375,8324104,0.6161749362945557,506.5884094238281
8970,8405976,8364851.5,904.690673828125,8365040,0.6167011857032776,507.0210876464844
8980,8446912,8405788,905.3909912109375,8405976,0.6172274947166443,507.4537658691406
8990,8487849,8446724,906.0911865234375,8446912,0.6177537441253662,507.8864440917969
9000,8528785,8487660,906.7913208007813,8487849,0.6182800531387329,508.3191528320313
9010,8569721,8528596,907.4913940429688,8528785,0.6188063621520996,508.7518615722656
9020,8610657,8569532,908.1912841796875,8569721,0.6193326711654663,509.1845703125
9030,8651593,8610468,908.89111328125,8610657,0.6198590397834778,509.6172790527344
9040,8692529,8651404,909.5908203125,8651593,0.6203853487968445,510.0500183105469
9050,8733465,8692340,910.2904663085938,8692529,0.620911717414856,510.4827575683594
9060,8774401,8733276,910.989990234375,8733465,0.6214380860328674,510.9154968261719
9070,8815337,8774212,911.6893920898438,8774401,0.6219644546508789,511.3482666015625
9080,8856273,8815149,912.388671875,8815337,0.6224908232688904,511.7810363769531
9090,8897210,8856085,913.087890625,8856273,0.6230172514915466,512.2138061523438
9100,8938146,8897021,913.7869873046875,8897210,0.6235436201095581,512.6466064453125
9110,8979082,8937957,914.4859619140625,8938146,0.6240700483322144,513.0794067382813
9120,9020018,8978893,915.1848754882813,8979082,0.6245964765548706,513.51220703125
9130,9060954,9019829,915.8836669921875,9020018,0.6251229047775269,513.9450073242188
9140,9101890,9060765,916.5823364257813,9060954,0.6256493330001831,514.3778076171875
9150,9142826,9101701,917.2809448242188,9101890,0.6261758208274841,514.8106079101563
9160,9183762,9142637,917.9794311523438,9142826,0.6267022490501404,515.2434692382813
9170,9224698,9183573,918.6777954101563,9183762,0.6272287368774414,515.67626953125
9180,9265635,9224509,919.3760986328125,9224698,0.6277552247047424,516.109130859375
9190,9306571,9265445,920.0742797851563,9265635,0.6282817125320435,516.5419921875
9200,9347507,9306382,920.7723388671875,9306571,0.6288082003593445,516.974853515625
9210,9388443,9347318,921.4702758789063,9347507,0.6293346881866455,517.40771484375
9220,9429379,9388254,922.1681518554688,9388443,0.6298611760139465,517.840576171875
9230,9470315,9429190,922.8659057617188,9429379,0.6303877234458923,518.2734375
9240,9511251,9470126,923.5635986328125,9470315,0.6309142708778381,518.7063598632813
9250,9552187,9511062,924.2611083984375,9511251,0.6314407587051392,519.1392211914063
9260,9593123,9551998,924.9586181640625,9552187,0.631967306137085,519.5721435546875
9270,9634059,9592934,925.6559448242188,9593123,0.6324938535690308,520.0050659179688
9280,9674996,9633870,926.3532104492188,9634059,0.6330204606056213,520.4379272460938
9290,9715932,9674806,927.0503540039063,9674996,0.6335470080375671,520.870849609375
9300,9756868,9715742,927.7473754882813,9715932,0.6340735554695129,521.3037719726563
9310,9797804,9756678,928.4443359375,9756868,0.6346001625061035,521.7366943359375
9320,9838740,9797614,929.1411743164063,9797804,0.6351267099380493,522.1696166992188
9330,9879676,9838551,929.837890625,9838740,0.6356533169746399,522.6026000976563
9340,9920612,9879487,930.5345458984375,9879676,0.6361799240112305,523.0355224609375
9350,9961548,9920423,931.2310791015625,9920612,0.636706531047821,523.4684448242188
9360,10002484,9961359,931.927490234375,9961548,0.6372331380844116,523.9014282226563
9370,10043421,10002295,932.6238403320313,10002484,0.6377597451210022,524.3344116210938
9380,10084357,10043231,933.320068359375,10043421,0.6382864117622375,524.767333984375
9390,10125293,10084167,934.0161743164063,10084357,0.6388130187988281,525.2003173828125
9400,10166229,10125103,934.712158203125,10125293,0.6393396258354187,525.63330078125
9410,10207165,10166039,935.4080810546875,10166229,0.6398662924766541,526.0662841796875
9420,10248101,10206975,936.1038818359375,10207165,0.6403929591178894,526.499267578125
9430,10289037,10247911,936.7996215820313,10248101,0.64091956615448,526.9322509765625
9440,10329973,10288847,937.4952392578125,10289037,0.6414462327957153,527.365234375
9450,10370909,10329784,938.1907348632813,10329973,0.6419728994369507,527.7982177734375
9460,10411845,10370720,938.8861694335938,10370909,0.642499566078186,528.231201171875
9470,10452782,10411656,939.5814208984375,10411845,0.6430262327194214,528.6642456054688
9480,10493718,10452592,940.276611328125,10452782,0.6435528993606567,529.0972290039063
9490,10534654,10493528,940.9717407226563,10493718,0.6440795660018921,529.5302124023438
9500,10575590,10534464,941.666748046875,10534654,0.6446062922477722,529.9632568359375
9510,10616526,10575400,942.3616333007813,10575590,0.6451329588890076,530.396240234375
9520,10657462,10616336,943.056396484375,10616526,0.6456596255302429,530.8292846679688
9530,10698398,10657272,943.7510986328125,10657462,0.646186351776123,531.2622680664063
9540,10739334,10698208,944.4456787109375,10698398,0.6467130184173584,531.6953125
9550,10780270,10739144,945.14013671875,10739334,0.6472397446632385,532.1283569335938
9560,10821206,10780080,945.8345336914063,10780270,0.6477664113044739,532.5614013671875
9570,10862143,10821017,946.52880859375,10821206,0.648293137550354,532.994384765625
9580,10903079,10861953,947.2229614257813,10862143,0.6488198637962341,533.4274291992188
9590,10944015,10902889,947.9170532226563,10903079,0.6493465304374695,533.8604736328125
9600,10984951,10943825,948.6110229492188,10944015,0.6498732566833496,534.2935180664063
9610,11025887,10984761,949.3048706054688,10984951,0.6503999829292297,534.7265625
9620,11066823,11025697,949.9986572265625,11025887,0.6509267091751099,535.1596069335938
9630,11107759,11066633,950.6923217773438,11066823,0.65145343542099,535.5926513671875
9640,11148695,11107569,951.3858642578125,11107759,0.6519801616668701,536.0256958007813
9650,11189631,11148505,952.0792846679688,11148695,0.6525068879127502,536.458740234375
9660,11230568,11189441,952.7726440429688,11189631,0.6530336141586304,536.8917846679688
9670,11271504,11230377,953.4658813476563,11230568,0.6535603404045105,537.3248291015625
9680,11312440,11271313,954.1590576171875,11271504,0.6540870666503906,537.7578735351563
9690,11353376,11312249,954.8521118164063,11312440,0.6546137928962708,538.19091796875
9700,11394312,11353186,955.5450439453125,11353376,0.6551405191421509,538.6239624023438
9710,11435248,11394122,956.2378540039063,11394312,0.655667245388031,539.0570068359375
9720,11476184,11435058,956.9306030273438,11435248,0.6561939716339111,539.4900512695313
9730,11517120,11475994,957.6232299804688,11476184,0.6567206978797913,539.923095703125
9740,11558056,11516930,958.3157958984375,11517120,0.6572474241256714,540.3561401367188
9750,11598992,11557866,959.0081787109375,11558056,0.6577741503715515,540.7892456054688
9760,11639929,11598802,959.7005004882813,11598992,0.6583008766174316,541.2222900390625
9770,11680865,11639738,960.3927612304688,11639929,0.6588276028633118,541.6553344726563
9780,11721801,11680674,961.0848388671875,11680865,0.6593543291091919,542.08837890625
9790,11762737,11721610,961.77685546875,11721801,0.659881055355072,542.5214233398438
9800,11803673,11762546,962.4688110351563,11762737,0.6604077816009521,542.9544677734375
9810,11844609,11803482,963.1605834960938,11803673,0.6609345078468323,543.3875122070313
9820,11885545,11844419,963.852294921875,11844609,0.6614612340927124,543.820556640625
9830,11926481,11885355,964.5439453125,11885545,0.6619879603385925,544.2536010742188
9840,11967417,11926291,965.2354125976563,11926481,0.6625146865844727,544.6866455078125
9850,12008354,11967227,965.9268188476563,11967417,0.6630414128303528,545.1196899414063
