PCADimension1,PCADimension9,PCADimension25,PCADimension27,PCADimension12,PCADimension2,PCADimension8,PCADimension10,PCADimension11,PCADimension23,PCADimension29,PCADimension24,PCADimension6,PCADimension13,BOP.portElec_b.W,BOP.steamTurbine.portHP.p,Time,SC.demand_BOP.y[1]
5.2226934376,1.56724358251,0.570317754025,0.39047574185,-3.30438879963,-3.64814847538,-2.50399352731,-0.025299086191,-0.198517729572,0.137975063217,0.0589563456672,0.155962990728,0.216559671239,0.616988780399,783700000.0,3896900.0,84240,783730000.0
5.22430715618,1.59683841704,0.578180036626,0.390040791785,-3.29613993846,-3.66513464813,-2.51112625258,-0.0297686087318,-0.210065418765,0.14848640086,0.0531726523376,0.200496004664,0.217898313588,0.649042010769,783730000.0,3897000.0,84250,783770000.0
5.22499543735,1.59685199052,0.578142570882,0.390114826646,-3.29623624808,-3.66517055003,-2.51138469563,-0.029825963378,-0.209747864173,0.14823548967,0.0532482967243,0.199810310839,0.217911604303,0.648948599371,783770000.0,3897200.0,84260,783810000.0
5.22818623034,1.59134634883,0.576765864343,0.390350829101,-3.29778122696,-3.66257137181,-2.51037081822,-0.0291546611555,-0.207161297771,0.146042375566,0.0543533774809,0.190822598057,0.217717580281,0.643016248849,783810000.0,3897400.0,84270,783840000.0
5.22894897563,1.58066391965,0.573426012175,0.390316962471,-3.30082764281,-3.65646050954,-2.50805452795,-0.0275667336384,-0.202517335542,0.141760738075,0.0566274391077,0.173701342927,0.217255166555,0.631193602608,783840000.0,3897500.0,84280,783880000.0
5.23017431189,1.58855761438,0.575721513984,0.390392521826,-3.29873436303,-3.66113995585,-2.51018915856,-0.0287396964833,-0.205389907639,0.144472905136,0.0551084866087,0.185171908915,0.217623721467,0.63977731891,783880000.0,3897700.0,84290,783920000.0
5.23714977196,1.56775774807,0.57148679596,0.391914369177,-3.30422850287,-3.65002576682,-2.50511649601,-0.0259271180921,-0.19605580956,0.13696025136,0.059191783175,0.151371623444,0.216915486919,0.616314754703,783920000.0,3897800.0,84300,783950000.0
5.23902704569,1.61342097647,0.583671307183,0.391238500598,-3.29145735822,-3.67616775538,-2.51599311214,-0.0328526252339,-0.214038372891,0.15332031265,0.0502591160745,0.220432870489,0.218975408036,0.665798205459,783950000.0,3898000.0,84310,783990000.0
5.23983614842,1.60554021888,0.581565723686,0.391461402392,-3.29376843549,-3.67177878079,-2.51444618882,-0.0317688151606,-0.210565284297,0.15022692626,0.0518820325919,0.207752562072,0.218640060998,0.657200417207,783990000.0,3898200.0,84320,784030000.0
5.24097171045,1.59244721841,0.577646662641,0.391478595137,-3.29743754799,-3.66439202835,-2.51145970321,-0.029788039089,-0.205038081728,0.145153469556,0.0545600691772,0.18718489492,0.21807650898,0.642807543393,784030000.0,3898300.0,84330,784070000.0
5.24314130533,1.59659116459,0.57841327874,0.390863391356,-3.29683202651,-3.66823896217,-2.51360030912,-0.0300333409024,-0.207262960156,0.146687501597,0.0535917762513,0.195655080611,0.218116398386,0.64934729376,784060000.0,3898500.0,84340,784100000.0
5.24407086879,1.57318369058,0.572088394133,0.391300192645,-3.30351747424,-3.65506745192,-2.50840891274,-0.026490045131,-0.197558376638,0.137931651941,0.0582883086216,0.159271502938,0.217086163542,0.623896120522,784100000.0,3898600.0,84350,784140000.0
5.24240540038,1.61411698181,0.583397214682,0.390409004832,-3.286481213,-3.68141847016,-2.52058058902,-0.0316565209954,-0.214301650089,0.154034932959,0.0500969549043,0.225925385895,0.218215189454,0.664955778682,784140000.0,3898800.0,84360,784180000.0
5.24316016404,1.58059108807,0.573880467268,0.390676117883,-3.29596813889,-3.66242493157,-2.51300187098,-0.0266106653642,-0.200544811325,0.141458743907,0.0568820839296,0.174101934097,0.216725621118,0.628483534486,784180000.0,3899000.0,84370,784210000.0
5.24415177307,1.59031518273,0.576552747814,0.390670272691,-3.2933113219,-3.66802363234,-2.51553490928,-0.0282269006554,-0.204105869781,0.144761492444,0.0549892329003,0.188233242116,0.217176797228,0.638948546655,784210000.0,3899100.0,84380,784250000.0
5.25020128674,1.59458544293,0.57793026504,0.385289964807,-3.29290361416,-3.64629354207,-2.51991262289,-0.0273250645531,-0.19028829333,0.148334152901,0.0517372143921,0.199078022888,0.216268389148,0.648354082567,784250000.0,3899300.0,84390,784290000.0
5.25150192427,1.5943454297,0.577519794037,0.385164896474,-3.29303330236,-3.64627489223,-2.52007598358,-0.0272865552462,-0.189863161044,0.147912178957,0.0519102222774,0.198040749414,0.216266290261,0.648000553704,784290000.0,3899500.0,84400,784320000.0
5.25230434464,1.58927427765,0.575807494951,0.385113012422,-3.29453619127,-3.64340159719,-2.51908498512,-0.0264562764862,-0.187496379473,0.145711119954,0.053015639386,0.189551507659,0.216049113493,0.642324843564,784320000.0,3899600.0,84410,784360000.0
5.25338729733,1.57912828212,0.573043994597,0.385319221592,-3.29742076776,-3.6377433647,-2.51684421181,-0.0249456550546,-0.183165670162,0.14183331425,0.0550779703693,0.173531563768,0.215624443701,0.63120197916,784360000.0,3899800.0,84420,784400000.0
5.25422413292,1.56435430874,0.568659952483,0.385394708969,-3.30160643904,-3.62932337217,-2.51357643415,-0.0227683789874,-0.176869836985,0.136083892254,0.0581534976686,0.150140812408,0.214983224808,0.614937269389,784400000.0,3899900.0,84430,784430000.0
5.25564432169,1.56887132558,0.569601084292,0.385252054035,-3.30040048065,-3.63198784952,-2.51478919754,-0.0233418882013,-0.178317816689,0.137389365529,0.057352696305,0.156252571034,0.215200145609,0.619648368516,784430000.0,3900100.0,84440,784470000.0
5.25668856226,1.59264858369,0.576106662378,0.385058656971,-3.29383530593,-3.64559289544,-2.52058708837,-0.0269220083722,-0.187535128878,0.14583926167,0.0527072802123,0.191866604423,0.2162767438,0.645369988935,784470000.0,3900300.0,84450,784510000.0
5.25800035694,1.5874979538,0.57439091053,0.384991715803,-3.29537222152,-3.64284798223,-2.51963942229,-0.0260859517,-0.185178629012,0.14363976556,0.053808178851,0.183451663619,0.216051094144,0.63976884869,784510000.0,3900400.0,84460,784550000.0
5.25901451959,1.57784281172,0.571379173684,0.3849863114,-3.29813498028,-3.63735425469,-2.51752682475,-0.0245582185394,-0.180924497448,0.139740967091,0.055871929973,0.16784465735,0.215638718831,0.6290176032,784550000.0,3900600.0,84470,784580000.0
5.26014262337,1.5875632193,0.574080663578,0.385026704869,-3.29552512232,-3.64294936185,-2.5199625596,-0.0258321093281,-0.184461300035,0.143051833938,0.0540079900356,0.181855393254,0.216088776171,0.639370104449,784580000.0,3900700.0,84480,784620000.0
5.26236418566,1.56876182129,0.568871440148,0.385396341468,-3.30074333225,-3.63235599128,-2.5156115735,-0.0230739205503,-0.17637627264,0.135854257533,0.0578269320369,0.151946207919,0.215309338059,0.618498129175,784620000.0,3900900.0,84490,784660000.0
5.26388684551,1.59323459153,0.575319880778,0.384996027145,-3.29388093203,-3.64640044221,-2.52141510797,-0.0267351765269,-0.185937623494,0.144562549454,0.0530791472392,0.188792616024,0.216430344938,0.644937985243,784660000.0,3901100.0,84500,784690000.0
5.26484208853,1.58918083147,0.574197697401,0.385162689654,-3.29511300329,-3.64412711209,-2.52064985413,-0.0260596342105,-0.183936052555,0.142813550128,0.0539628982297,0.181755733479,0.216270718401,0.640319733652,784690000.0,3901200.0,84510,784730000.0
5.26836292487,1.5807206884,0.57213263698,0.385613946986,-3.29743162185,-3.63970118829,-2.51871785267,-0.0247477369297,-0.179987140732,0.139514053543,0.055671425889,0.167709983254,0.215969144867,0.630771100611,784730000.0,3901400.0,84520,784770000.0
5.26972357126,1.59180705689,0.574838625072,0.385376139451,-3.29434299552,-3.64604492858,-2.52146867957,-0.0264779696534,-0.184043853255,0.143210315466,0.053620029386,0.183785276231,0.216488722166,0.642566344783,784770000.0,3901500.0,84530,784800000.0
5.2705409268,1.57397531213,0.569987776591,0.385673468863,-3.2995487437,-3.63614122927,-2.5176384864,-0.0235630375891,-0.176676894363,0.136498532126,0.0571512945058,0.156179122656,0.215679245766,0.623349974413,784800000.0,3901700.0,84540,784840000.0
5.27157980889,1.60631682439,0.577901737618,0.386258033852,-3.28879470021,-3.65035476831,-2.52207768869,-0.0297785101129,-0.186188144396,0.146406477277,0.0516626028604,0.195317290861,0.217690646545,0.651017014933,784840000.0,3901900.0,84550,784880000.0
5.27266107192,1.60398453954,0.576841866557,0.386103634577,-3.28957050301,-3.64913800254,-2.52172986683,-0.0291846150255,-0.184957764319,0.145198928459,0.0522473036152,0.191132768266,0.217580133898,0.648394723421,784880000.0,3902000.0,84560,784910000.0
5.27362414614,1.59733893194,0.575073021394,0.386329520851,-3.29153627213,-3.64544660527,-2.52041344788,-0.0281740239489,-0.181948982791,0.142531996673,0.0535915308162,0.180247214982,0.21729727063,0.641067041438,784910000.0,3902200.0,84570,784950000.0
